lon,lat,series_id,study_id,spatial_unit,variable,taxonname,species_code,site_number,unit,ott_id,name_cleaned,ncbi_id,genus,family,order,class,phylum,kingdom,taxon_rank
-106.95,39.45,seriesM00003_site004_speciesASTMIC_varialbe_fruit_unit_fruits/plot,M00003,patch,fruit,Astragalus microcymbus,ASTMIC,004,fruits/plot,3924586,Astragalus microcymbus,NA,Astragalus,Fabaceae,Fabales,Magnoliopsida,NA,Plantae,species
1.92,41.27,seriesM00200_site001_speciesALLSPH_varialbe_flower_unit_flowers/m2,M00200,stand,flower,Allium sphaerocephalon,ALLSPH,001,flowers/m2,505052,Allium sphaerocephalon,166824,Allium,Amaryllidaceae,Asparagales,Magnoliopsida,Streptophyta,Viridiplantae,species
1.92,41.27,seriesM00200_site001_speciesBISLAE_varialbe_flower_unit_flowers/m2,M00200,stand,flower,Biscutella laevigata,BISLAE,001,flowers/m2,805249,Biscutella laevigata,264427,Biscutella,Brassicaceae,Brassicales,Magnoliopsida,Streptophyta,Viridiplantae,species
1.92,41.27,seriesM00200_site001_speciesCISALB_varialbe_flower_unit_flowers/m2,M00200,stand,flower,Cistus albidus,CISALB,001,flowers/m2,228845,Cistus albidus,335163,Cistus,Cistaceae,Malvales,Magnoliopsida,Streptophyta,Viridiplantae,species
1.92,41.27,seriesM00200_site001_speciesCISSAL_varialbe_flower_unit_flowers/m2,M00200,stand,flower,Cistus salviifolius,CISSAL,001,flowers/m2,752027,Cistus salviifolius,335170,Cistus,Cistaceae,Malvales,Magnoliopsida,Streptophyta,Viridiplantae,species
1.92,41.27,seriesM00200_site001_speciesDORHIR_varialbe_flower_unit_flowers/m2,M00200,stand,flower,Dorycnium hirsutum,DORHIR,001,flowers/m2,253729,Dorycnium hirsutum,118898,NA,NA,NA,NA,NA,NA,NA
1.92,41.27,seriesM00200_site001_speciesEUPFLA_varialbe_flower_unit_flowers/m2,M00200,stand,flower,Euphorbia flavicoma,EUPFLA,001,flowers/m2,978146,Euphorbia flavicoma,1091626,Euphorbia,Euphorbiaceae,Malpighiales,Magnoliopsida,Streptophyta,Viridiplantae,species
1.92,41.27,seriesM00200_site001_speciesGLAILL_varialbe_flower_unit_flowers/m2,M00200,stand,flower,Gladiolus illyricus,GLAILL,001,flowers/m2,893085,Gladiolus illyricus,928058,Gladiolus,Iridaceae,Asparagales,Magnoliopsida,Streptophyta,Viridiplantae,species
1.92,41.27,seriesM00200_site001_speciesMUSNEG_varialbe_flower_unit_flowers/m2,M00200,stand,flower,Muscari neglectum,MUSNEG,001,flowers/m2,172927,Muscari neglectum,59072,Muscari,Hyacinthaceae,Asparagales,Magnoliopsida,Streptophyta,Viridiplantae,species
1.92,41.27,seriesM00200_site001_speciesPHLLYC_varialbe_flower_unit_flowers/m2,M00200,stand,flower,Phlomis lychnitis,PHLLYC,001,flowers/m2,761319,Phlomis lychnitis,316266,Phlomis,Lamiaceae,Lamiales,Magnoliopsida,Streptophyta,Viridiplantae,species
