taxonname,name_cleaned,search_string,unique_name,approximate_match,score,ott_id,is_synonym,flags,number_matches
Trisopterus esmarkii,Trisopterus esmarkii,trisopterus esmarkii,Trisopterus esmarkii,FALSE,1,926146,FALSE,NA,1
Cyclopterus lumpus,Cyclopterus lumpus,cyclopterus lumpus,Cyclopterus lumpus,FALSE,1,237344,FALSE,NA,1
Trisopterus luscus,Trisopterus luscus,trisopterus luscus,Trisopterus luscus,FALSE,1,179345,FALSE,NA,1
Trisopterus minutus,Trisopterus minutus,trisopterus minutus,Trisopterus minutus,FALSE,1,926143,FALSE,NA,1
Crangon vulgaris,Crangon crangon,crangon vulgaris,Crangon crangon,FALSE,1,497498,TRUE,sibling_higher,1
Hyperomyzus lactucae,Hyperomyzus lactucae,hyperomyzus lactucae,Hyperomyzus lactucae,FALSE,1,203054,FALSE,NA,1
Perizoma alchemillata,Perizoma alchemillata,perizoma alchemillata,Perizoma alchemillata,FALSE,1,3083181,FALSE,sibling_higher,1
Zenaida macroura,Zenaida macroura,zenaida macroura,Zenaida macroura,FALSE,1,183576,FALSE,NA,1
Coccyzus americanus,Coccyzus americanus,coccyzus americanus,Coccyzus americanus,FALSE,1,891425,FALSE,NA,1
Bubo virginianus,Bubo virginianus,bubo virginianus,Bubo virginianus,FALSE,1,509853,FALSE,sibling_higher,1
Archilochus colubris,Archilochus colubris,archilochus colubris,Archilochus colubris,FALSE,1,759410,FALSE,NA,1
Colaptes auratus,Colaptes auratus,colaptes auratus,Colaptes auratus,FALSE,1,733990,FALSE,NA,1
Melanerpes carolinus,Melanerpes carolinus,melanerpes carolinus,Melanerpes carolinus,FALSE,1,119082,FALSE,NA,1
Melanerpes erythrocephalus,Melanerpes erythrocephalus,melanerpes erythrocephalus,Melanerpes erythrocephalus,FALSE,1,800693,FALSE,NA,1
Picoides villosus,Picoides villosus,picoides villosus,Picoides villosus,FALSE,1,733988,FALSE,sibling_higher,1
Picoides pubescens,Picoides pubescens,picoides pubescens,Picoides pubescens,FALSE,1,873958,FALSE,sibling_higher,1
