ID,error,error_reason,whole_estimate.r,whole_estimate.K,whole_estimate.sigma,whole_se.r,whole_se.K,whole_se.sigma,whole_converged,part,estimate.r,estimate.K,estimate.sigma,se.r,se.K,se.sigma,converged
9982,FALSE,NA,0.7598290501796221,33.98659156315976,0.6668798227600187,0.42572327263567805,8.803275688948958,0.13612313225257297,TRUE,2,0.5951198733892534,23.21540314192597,0.7163809192292784,0.5935275365077325,13.747900438550165,0.20680071230727182,TRUE
10049,FALSE,NA,0.11742079829926111,1.5361475882351563,0.13810438207317657,0.10356142841875005,0.4913559255190697,0.020820327155228784,TRUE,1,0.6997323655738907,0.9421187899789991,0.13710753298558878,0.3483409528272423,0.05677459545112113,0.029232307989705688,TRUE
10049,FALSE,NA,0.11742079829926111,1.5361475882351563,0.13810438207317657,0.10356142841875005,0.4913559255190697,0.020820327155228784,TRUE,2,0.5173371818355507,1.6586117942978396,0.09652981630146444,0.2058646468155151,0.10063563041370109,0.020579940875124825,TRUE
10165,FALSE,NA,0.23660514698375093,2692.0351134338857,1.9661906699005012,0.4152550794304058,4474.662865558529,0.27808274957037604,TRUE,1,0.7871980771351095,7292.580042902181,2.2398355085167427,0.726327485501977,6270.399463878795,0.45716911779475594,TRUE
10165,FALSE,NA,0.23660514698375093,2692.0351134338857,1.9661906699005012,0.4152550794304058,4474.662865558529,0.27808274957037604,TRUE,2,0.6860591977229219,115.7127719013739,0.612570046934143,0.2608738808895592,32.68247206622751,0.125041310577381,TRUE
20532,FALSE,NA,0.04741065575874652,59800394.46234612,0.15877268860837354,0.03464716150435732,86578026922.29276,0.02449928427777632,TRUE,1,0.31593796370767757,55.13964725638633,0.1899566236218481,0.2389133007578432,10.511675550925656,0.042478109624918166,TRUE
20532,FALSE,NA,0.04741065575874652,59800394.46234612,0.15877268860837354,0.03464716150435732,86578026922.29276,0.02449928427777632,TRUE,2,0.16372437293289915,313.82297990106554,0.05571455179243998,0.06325013814870958,214.25600304749568,0.012456876392073858,TRUE
20536,FALSE,NA,0.3294224657644256,125.95528402498253,0.09692347722118735,0.13964267147862758,9.074668992127844,0.015324612729367472,TRUE,1,0.9273950555912834,111.1047185038792,0.06896968678612965,0.23687048178816617,2.6589635458371768,0.01542113429309577,TRUE
20536,FALSE,NA,0.3294224657644256,125.95528402498253,0.09692347722118735,0.13964267147862758,9.074668992127844,0.015324612729367472,TRUE,2,0.3258479175662281,137.7385359854342,0.09536495730299956,0.18447375405484817,14.560136513765718,0.02132318264816903,TRUE
20624,FALSE,NA,0,1,1,NA,NA,NA,FALSE,1,0,1,1,NA,NA,NA,FALSE
20624,FALSE,NA,0,1,1,NA,NA,NA,FALSE,2,0,1,1,NA,NA,NA,FALSE
20637,FALSE,NA,0,1,1,NA,NA,NA,FALSE,1,0,1,1,NA,NA,NA,FALSE
20637,FALSE,NA,0,1,1,NA,NA,NA,FALSE,2,0,1,1,NA,NA,NA,FALSE
61,FALSE,NA,0,1,1,NA,NA,NA,FALSE,1,0,1,1,NA,NA,NA,FALSE
61,FALSE,NA,0,1,1,NA,NA,NA,FALSE,2,0,1,1,NA,NA,NA,FALSE
165,FALSE,NA,0,1,1,NA,NA,NA,FALSE,1,0,1,1,NA,NA,NA,FALSE
165,FALSE,NA,0,1,1,NA,NA,NA,FALSE,2,0,1,1,NA,NA,NA,FALSE
194,FALSE,NA,0,1,1,NA,NA,NA,FALSE,1,0,1,1,NA,NA,NA,FALSE
194,FALSE,NA,0,1,1,NA,NA,NA,FALSE,2,0,1,1,NA,NA,NA,FALSE
214,FALSE,NA,0,1,1,NA,NA,NA,FALSE,1,0,1,1,NA,NA,NA,FALSE
214,FALSE,NA,0,1,1,NA,NA,NA,FALSE,2,0,1,1,NA,NA,NA,FALSE
265,FALSE,NA,0,1,1,NA,NA,NA,FALSE,1,0,1,1,NA,NA,NA,FALSE
265,FALSE,NA,0,1,1,NA,NA,NA,FALSE,2,0,1,1,NA,NA,NA,FALSE
271,FALSE,NA,0,1,1,NA,NA,NA,FALSE,1,0,1,1,NA,NA,NA,FALSE
271,FALSE,NA,0,1,1,NA,NA,NA,FALSE,2,0,1,1,NA,NA,NA,FALSE
278,FALSE,NA,0.06849187519092126,932893.0912515231,0.372760030891267,0.06735464620339936,4430263.619656256,0.037277664386448424,TRUE,1,-0.13210902989963486,166499.94255298024,0.3568792072515579,0.12464942087875125,215748.21560133717,0.05047278389445569,TRUE
278,FALSE,NA,0.06849187519092126,932893.0912515231,0.372760030891267,0.06735464620339936,4430263.619656256,0.037277664386448424,TRUE,2,0.2785688005713518,536659.3578714753,0.31883561111154163,0.08367421695257564,296895.22329727944,0.045093186250538424,TRUE
322,FALSE,NA,0.585085407094211,1987.0546747337482,0.2455251919818742,0.1837770090916148,284.91558430389347,0.052347828870916886,TRUE,1,0.6861535249209074,1591.392952853549,0.2743862834213287,0.29220651949456233,418.20153931251735,0.08677107459134745,TRUE
322,FALSE,NA,0.585085407094211,1987.0546747337482,0.2455251919818742,0.1837770090916148,284.91558430389347,0.052347828870916886,TRUE,2,0.7502351704988856,2135.986494126496,0.21964418393604682,0.43195884221176206,280.07788536649844,0.06946291140489363,TRUE
338,FALSE,NA,0,1,1,NA,NA,NA,FALSE,1,0,1,1,NA,NA,NA,FALSE
338,FALSE,NA,0,1,1,NA,NA,NA,FALSE,2,0,1,1,NA,NA,NA,FALSE
343,FALSE,NA,0.5346964656174862,8217.284251704375,0.469226565904664,0.25336096554223053,2322.3798517149053,0.10004681120197775,TRUE,1,0.5121881248038191,14603.89236779758,0.5579733990668934,0.41013086909511565,29049.27157212433,0.17647013863206132,TRUE
343,FALSE,NA,0.5346964656174862,8217.284251704375,0.469226565904664,0.25336096554223053,2322.3798517149053,0.10004681120197775,TRUE,2,-0.17405225433966204,375776926997.7368,0.4344229780133144,0.1942799635490143,3892073498393118.5,0.13737724641552207,TRUE
352,FALSE,NA,0.1830703183953562,19518.135687042042,0.45358158465185106,0.09411654194200177,6292.4230369814495,0.04106510907218126,TRUE,1,0.3890135618525965,27567.010532492117,0.42369876721961475,0.1637266489490419,5525.185122291916,0.05470263764438491,TRUE
352,FALSE,NA,0.1830703183953562,19518.135687042042,0.45358158465185106,0.09411654194200177,6292.4230369814495,0.04106510907218126,TRUE,2,0.294624175420093,9469.054745279835,0.45593388348660713,0.17014846165957878,2732.169628562354,0.05886002323525294,TRUE
389,FALSE,NA,0,1,1,NA,NA,NA,FALSE,1,0,1,1,NA,NA,NA,FALSE
389,FALSE,NA,0,1,1,NA,NA,NA,FALSE,2,0,1,1,NA,NA,NA,FALSE
419,FALSE,NA,0,1,1,NA,NA,NA,FALSE,1,0,1,1,NA,NA,NA,FALSE
419,FALSE,NA,0,1,1,NA,NA,NA,FALSE,2,0,1,1,NA,NA,NA,FALSE
479,FALSE,NA,0,1,1,NA,NA,NA,FALSE,1,0,1,1,NA,NA,NA,FALSE
479,FALSE,NA,0,1,1,NA,NA,NA,FALSE,2,0,1,1,NA,NA,NA,FALSE
