mainid,datasourceid,locationid,taxonname,lon,lat,reference,ott_id,name_cleaned,ncbi_id,genus,family,order,class,phylum,kingdom,taxon_rank
112,12,36,Ursus americanus,-116,38,"Ontario Trappers Association, Ontario",872577,Ursus americanus,9643,Ursus,Ursidae,Carnivora,Mammalia,Chordata,Metazoa,species
113,12,41,Ursus americanus,-114,44,"Ontario Trappers Association, Ontario",872577,Ursus americanus,9643,Ursus,Ursidae,Carnivora,Mammalia,Chordata,Metazoa,species
114,12,48,Ursus americanus,-69,45,"Ontario Trappers Association, Ontario",872577,Ursus americanus,9643,Ursus,Ursidae,Carnivora,Mammalia,Chordata,Metazoa,species
115,12,51,Ursus americanus,-85,44,"Ontario Trappers Association, Ontario",872577,Ursus americanus,9643,Ursus,Ursidae,Carnivora,Mammalia,Chordata,Metazoa,species
116,12,52,Ursus americanus,-95,46,"Ontario Trappers Association, Ontario",872577,Ursus americanus,9643,Ursus,Ursidae,Carnivora,Mammalia,Chordata,Metazoa,species
117,12,55,Ursus americanus,-110,47,"Ontario Trappers Association, Ontario",872577,Ursus americanus,9643,Ursus,Ursidae,Carnivora,Mammalia,Chordata,Metazoa,species
118,12,58,Ursus americanus,-72,44,"Ontario Trappers Association, Ontario",872577,Ursus americanus,9643,Ursus,Ursidae,Carnivora,Mammalia,Chordata,Metazoa,species
119,12,60,Ursus americanus,-114,34,"Ontario Trappers Association, Ontario",872577,Ursus americanus,9643,Ursus,Ursidae,Carnivora,Mammalia,Chordata,Metazoa,species
120,12,61,Ursus americanus,-73,41,"Ontario Trappers Association, Ontario",872577,Ursus americanus,9643,Ursus,Ursidae,Carnivora,Mammalia,Chordata,Metazoa,species
121,12,62,Ursus americanus,-79,36,"Ontario Trappers Association, Ontario",872577,Ursus americanus,9643,Ursus,Ursidae,Carnivora,Mammalia,Chordata,Metazoa,species
122,12,66,Ursus americanus,-120,44,"Ontario Trappers Association, Ontario",872577,Ursus americanus,9643,Ursus,Ursidae,Carnivora,Mammalia,Chordata,Metazoa,species
123,12,69,Ursus americanus,-81,34,"Ontario Trappers Association, Ontario",872577,Ursus americanus,9643,Ursus,Ursidae,Carnivora,Mammalia,Chordata,Metazoa,species
124,12,71,Ursus americanus,-86,36,"Ontario Trappers Association, Ontario",872577,Ursus americanus,9643,Ursus,Ursidae,Carnivora,Mammalia,Chordata,Metazoa,species
125,12,73,Ursus americanus,-112,39,"Ontario Trappers Association, Ontario",872577,Ursus americanus,9643,Ursus,Ursidae,Carnivora,Mammalia,Chordata,Metazoa,species
126,12,74,Ursus americanus,-73,44,"Ontario Trappers Association, Ontario",872577,Ursus americanus,9643,Ursus,Ursidae,Carnivora,Mammalia,Chordata,Metazoa,species
127,12,75,Ursus americanus,-78,38,"Ontario Trappers Association, Ontario",872577,Ursus americanus,9643,Ursus,Ursidae,Carnivora,Mammalia,Chordata,Metazoa,species
128,12,76,Ursus americanus,-120,48,"Ontario Trappers Association, Ontario",872577,Ursus americanus,9643,Ursus,Ursidae,Carnivora,Mammalia,Chordata,Metazoa,species
129,12,77,Ursus americanus,-80,38,"Ontario Trappers Association, Ontario",872577,Ursus americanus,9643,Ursus,Ursidae,Carnivora,Mammalia,Chordata,Metazoa,species
130,12,78,Ursus americanus,-90,44,"Ontario Trappers Association, Ontario",872577,Ursus americanus,9643,Ursus,Ursidae,Carnivora,Mammalia,Chordata,Metazoa,species
131,12,79,Ursus americanus,-108,43,"Ontario Trappers Association, Ontario",872577,Ursus americanus,9643,Ursus,Ursidae,Carnivora,Mammalia,Chordata,Metazoa,species
132,12,81,Ursus americanus,-95,40,"Ontario Trappers Association, Ontario",872577,Ursus americanus,9643,Ursus,Ursidae,Carnivora,Mammalia,Chordata,Metazoa,species
133,12,82,Ursus americanus,-100,45,"Ontario Trappers Association, Ontario",872577,Ursus americanus,9643,Ursus,Ursidae,Carnivora,Mammalia,Chordata,Metazoa,species
134,12,19,Ursus arctos,-115,55,"Ontario Trappers Association, Ontario",872567,Ursus arctos,9644,Ursus,Ursidae,Carnivora,Mammalia,Chordata,Metazoa,species
135,12,20,Ursus arctos,-125,55,"Ontario Trappers Association, Ontario",872567,Ursus arctos,9644,Ursus,Ursidae,Carnivora,Mammalia,Chordata,Metazoa,species
136,12,24,Ursus arctos,-100,67,"Ontario Trappers Association, Ontario",872567,Ursus arctos,9644,Ursus,Ursidae,Carnivora,Mammalia,Chordata,Metazoa,species
137,12,80,Ursus arctos,-98,60,"Ontario Trappers Association, Ontario",872567,Ursus arctos,9644,Ursus,Ursidae,Carnivora,Mammalia,Chordata,Metazoa,species
138,12,24,Ursus maritimus,-100,67,"Ontario Trappers Association, Ontario",10732,Ursus maritimus,29073,Ursus,Ursidae,Carnivora,Mammalia,Chordata,Metazoa,species
139,12,26,Ursus maritimus,-88,52,"Ontario Trappers Association, Ontario",10732,Ursus maritimus,29073,Ursus,Ursidae,Carnivora,Mammalia,Chordata,Metazoa,species
140,12,28,Ursus maritimus,-73,52,"Ontario Trappers Association, Ontario",10732,Ursus maritimus,29073,Ursus,Ursidae,Carnivora,Mammalia,Chordata,Metazoa,species
141,12,80,Ursus maritimus,-98,60,"Ontario Trappers Association, Ontario",10732,Ursus maritimus,29073,Ursus,Ursidae,Carnivora,Mammalia,Chordata,Metazoa,species
142,12,32,Ursus maritimus,-155,65,"Ontario Trappers Association, Ontario",10732,Ursus maritimus,29073,Ursus,Ursidae,Carnivora,Mammalia,Chordata,Metazoa,species
143,12,82,Ursus maritimus,-100,45,"Ontario Trappers Association, Ontario",10732,Ursus maritimus,29073,Ursus,Ursidae,Carnivora,Mammalia,Chordata,Metazoa,species
144,12,19,Castor canadensis,-115,55,"Ontario Trappers Association, Ontario",886085,Castor canadensis,51338,Castor,Castoridae,Rodentia,Mammalia,Chordata,Metazoa,species
145,12,20,Castor canadensis,-125,55,"Ontario Trappers Association, Ontario",886085,Castor canadensis,51338,Castor,Castoridae,Rodentia,Mammalia,Chordata,Metazoa,species
146,12,21,Castor canadensis,-98,55,"Ontario Trappers Association, Ontario",886085,Castor canadensis,51338,Castor,Castoridae,Rodentia,Mammalia,Chordata,Metazoa,species
147,12,22,Castor canadensis,-67,47,"Ontario Trappers Association, Ontario",886085,Castor canadensis,51338,Castor,Castoridae,Rodentia,Mammalia,Chordata,Metazoa,species
148,12,23,Castor canadensis,-53,48,"Ontario Trappers Association, Ontario",886085,Castor canadensis,51338,Castor,Castoridae,Rodentia,Mammalia,Chordata,Metazoa,species
149,12,24,Castor canadensis,-100,67,"Ontario Trappers Association, Ontario",886085,Castor canadensis,51338,Castor,Castoridae,Rodentia,Mammalia,Chordata,Metazoa,species
150,12,25,Castor canadensis,-63,45,"Ontario Trappers Association, Ontario",886085,Castor canadensis,51338,Castor,Castoridae,Rodentia,Mammalia,Chordata,Metazoa,species
151,12,26,Castor canadensis,-88,52,"Ontario Trappers Association, Ontario",886085,Castor canadensis,51338,Castor,Castoridae,Rodentia,Mammalia,Chordata,Metazoa,species
152,12,27,Castor canadensis,-63,47,"Ontario Trappers Association, Ontario",886085,Castor canadensis,51338,Castor,Castoridae,Rodentia,Mammalia,Chordata,Metazoa,species
153,12,28,Castor canadensis,-73,52,"Ontario Trappers Association, Ontario",886085,Castor canadensis,51338,Castor,Castoridae,Rodentia,Mammalia,Chordata,Metazoa,species
154,12,29,Castor canadensis,-104,55,"Ontario Trappers Association, Ontario",886085,Castor canadensis,51338,Castor,Castoridae,Rodentia,Mammalia,Chordata,Metazoa,species
155,12,30,Castor canadensis,-155,65,"Ontario Trappers Association, Ontario",886085,Castor canadensis,51338,Castor,Castoridae,Rodentia,Mammalia,Chordata,Metazoa,species
156,12,80,Castor canadensis,-98,60,"Ontario Trappers Association, Ontario",886085,Castor canadensis,51338,Castor,Castoridae,Rodentia,Mammalia,Chordata,Metazoa,species
157,12,31,Castor canadensis,-87,33,"Ontario Trappers Association, Ontario",886085,Castor canadensis,51338,Castor,Castoridae,Rodentia,Mammalia,Chordata,Metazoa,species
158,12,32,Castor canadensis,-155,65,"Ontario Trappers Association, Ontario",886085,Castor canadensis,51338,Castor,Castoridae,Rodentia,Mammalia,Chordata,Metazoa,species
159,12,34,Castor canadensis,-98,34,"Ontario Trappers Association, Ontario",886085,Castor canadensis,51338,Castor,Castoridae,Rodentia,Mammalia,Chordata,Metazoa,species
160,12,35,Castor canadensis,-119,37,"Ontario Trappers Association, Ontario",886085,Castor canadensis,51338,Castor,Castoridae,Rodentia,Mammalia,Chordata,Metazoa,species
161,12,36,Castor canadensis,-116,38,"Ontario Trappers Association, Ontario",886085,Castor canadensis,51338,Castor,Castoridae,Rodentia,Mammalia,Chordata,Metazoa,species
162,12,37,Castor canadensis,-73,42,"Ontario Trappers Association, Ontario",886085,Castor canadensis,51338,Castor,Castoridae,Rodentia,Mammalia,Chordata,Metazoa,species
163,12,40,Castor canadensis,-83,33,"Ontario Trappers Association, Ontario",886085,Castor canadensis,51338,Castor,Castoridae,Rodentia,Mammalia,Chordata,Metazoa,species
164,12,41,Castor canadensis,-114,44,"Ontario Trappers Association, Ontario",886085,Castor canadensis,51338,Castor,Castoridae,Rodentia,Mammalia,Chordata,Metazoa,species
165,12,42,Castor canadensis,-89,39,"Ontario Trappers Association, Ontario",886085,Castor canadensis,51338,Castor,Castoridae,Rodentia,Mammalia,Chordata,Metazoa,species
166,12,43,Castor canadensis,-86,40,"Ontario Trappers Association, Ontario",886085,Castor canadensis,51338,Castor,Castoridae,Rodentia,Mammalia,Chordata,Metazoa,species
167,12,44,Castor canadensis,-94,42,"Ontario Trappers Association, Ontario",886085,Castor canadensis,51338,Castor,Castoridae,Rodentia,Mammalia,Chordata,Metazoa,species
168,12,45,Castor canadensis,-97,39,"Ontario Trappers Association, Ontario",886085,Castor canadensis,51338,Castor,Castoridae,Rodentia,Mammalia,Chordata,Metazoa,species
169,12,46,Castor canadensis,-85,38,"Ontario Trappers Association, Ontario",886085,Castor canadensis,51338,Castor,Castoridae,Rodentia,Mammalia,Chordata,Metazoa,species
170,12,47,Castor canadensis,-97,31,"Ontario Trappers Association, Ontario",886085,Castor canadensis,51338,Castor,Castoridae,Rodentia,Mammalia,Chordata,Metazoa,species
171,12,48,Castor canadensis,-69,45,"Ontario Trappers Association, Ontario",886085,Castor canadensis,51338,Castor,Castoridae,Rodentia,Mammalia,Chordata,Metazoa,species
172,12,49,Castor canadensis,-76,39,"Ontario Trappers Association, Ontario",886085,Castor canadensis,51338,Castor,Castoridae,Rodentia,Mammalia,Chordata,Metazoa,species
173,12,50,Castor canadensis,-73,42,"Ontario Trappers Association, Ontario",886085,Castor canadensis,51338,Castor,Castoridae,Rodentia,Mammalia,Chordata,Metazoa,species
174,12,51,Castor canadensis,-85,44,"Ontario Trappers Association, Ontario",886085,Castor canadensis,51338,Castor,Castoridae,Rodentia,Mammalia,Chordata,Metazoa,species
175,12,52,Castor canadensis,-95,46,"Ontario Trappers Association, Ontario",886085,Castor canadensis,51338,Castor,Castoridae,Rodentia,Mammalia,Chordata,Metazoa,species
176,12,53,Castor canadensis,-90,33,"Ontario Trappers Association, Ontario",886085,Castor canadensis,51338,Castor,Castoridae,Rodentia,Mammalia,Chordata,Metazoa,species
