species,name_cleaned,search_string,unique_name,approximate_match,score,ott_id,is_synonym,flags,number_matches
Strychnos panamensis,Strychnos panamensis,strychnos panamensis,Strychnos panamensis,FALSE,1,29348,FALSE,,1
Stylogyne turbacensis,Stylogyne turbacensis,stylogyne turbacensis,Stylogyne turbacensis,FALSE,1,129618,FALSE,,1
Swartzia simplex,Swartzia simplex,swartzia simplex,Swartzia simplex,FALSE,1,500315,FALSE,,1
Tabernaemontana arborea,Tabernaemontana arborea,tabernaemontana arborea,Tabernaemontana arborea,FALSE,1,129620,FALSE,,1
Tabebuia rosea,Tabebuia rosea,tabebuia rosea,Tabebuia rosea,FALSE,1,1014957,FALSE,,1
Tachigali versicolor,Tachigali versicolor,tachigali versicolor,Tachigali versicolor,FALSE,1,129622,FALSE,sibling_higher,1
Talisia nervosa,Talisia nervosa,talisia nervosa,Talisia nervosa,FALSE,1,1068622,FALSE,,1
Tanaecium pyramidatum,Tanaecium pyramidatum,tanaecium pyramidatum,Tanaecium pyramidatum,FALSE,1,549229,FALSE,,1
Tanaecium tetragonolobum,Tanaecium tetragonolobum,tanaecium tetragonolobum,Tanaecium tetragonolobum,FALSE,1,370346,FALSE,,1
Tapirira guianensis,Tapirira guianensis,tapirira guianensis,Tapirira guianensis,FALSE,1,1016434,FALSE,,1
Terminalia oblonga,Terminalia oblonga,terminalia oblonga,Terminalia oblonga,FALSE,1,129628,FALSE,,1
Tetracera hydrophila,Tetracera hydrophila,tetracera hydrophila,Tetracera hydrophila,FALSE,1,5729512,FALSE,,1
Tetracera portobellensis,Tetracera portobellensis,tetracera portobellensis,Tetracera portobellensis,FALSE,1,49045,FALSE,,1
Tetrapterys tinifolia,Tetrapterys tinifolia,tetrapterys tinifolia,Tetrapterys tinifolia,FALSE,1,15752,FALSE,,1
Thevetia ahouai,Thevetia ahouai,thevetia ahouai,Thevetia ahouai,FALSE,1,536674,FALSE,,1
Thinouia myriantha,Thinouia myriantha,thinouia myriantha,Thinouia myriantha,FALSE,1,5747938,FALSE,,1
Tocoyena pittieri,Tocoyena pittieri,tocoyena pittieri,Tocoyena pittieri,FALSE,1,435424,FALSE,,1
